document, label, prediction
0,atheism,atheism
1,atheism,atheism
2,atheism,atheism
3,atheism,atheism
4,atheism,atheism
5,atheism,atheism
6,atheism,religion
7,atheism,atheism
8,atheism,atheism
9,atheism,atheism
10,atheism,atheism
11,atheism,atheism
12,atheism,atheism
13,atheism,atheism
14,atheism,atheism
15,atheism,atheism
16,atheism,atheism
17,atheism,atheism
18,atheism,religion
19,atheism,mideastpolitics
20,atheism,christianity
21,atheism,atheism
22,atheism,atheism
23,atheism,atheism
24,atheism,atheism
25,atheism,atheism
26,atheism,atheism
27,atheism,atheism
28,atheism,atheism
29,atheism,christianity
30,atheism,atheism
31,atheism,christianity
32,atheism,atheism
33,atheism,christianity
34,atheism,atheism
35,atheism,atheism
36,atheism,atheism
37,atheism,christianity
38,atheism,atheism
39,atheism,atheism
40,atheism,christianity
41,atheism,atheism
42,atheism,atheism
43,atheism,atheism
44,atheism,atheism
45,atheism,atheism
46,atheism,atheism
47,atheism,medicine
48,atheism,atheism
49,atheism,atheism
50,atheism,atheism
51,atheism,atheism
52,atheism,atheism
53,atheism,atheism
54,atheism,atheism
55,atheism,atheism
56,atheism,mideastpolitics
57,atheism,atheism
58,atheism,atheism
59,atheism,atheism
60,atheism,atheism
61,atheism,atheism
62,atheism,atheism
63,atheism,cryptology
64,atheism,christianity
65,atheism,christianity
66,atheism,christianity
67,atheism,atheism
68,atheism,atheism
69,atheism,atheism
70,atheism,atheism
71,atheism,christianity
72,atheism,atheism
73,atheism,atheism
74,atheism,atheism
75,atheism,atheism
76,atheism,atheism
77,atheism,atheism
78,atheism,atheism
79,atheism,atheism
80,atheism,christianity
81,atheism,atheism
82,atheism,atheism
83,atheism,atheism
84,atheism,atheism
85,atheism,atheism
86,atheism,christianity
87,atheism,christianity
88,atheism,christianity
89,atheism,atheism
90,atheism,atheism
91,atheism,religion
92,atheism,atheism
93,atheism,atheism
94,atheism,politics
95,atheism,christianity
96,atheism,atheism
97,atheism,atheism
98,atheism,atheism
99,atheism,atheism
100,atheism,atheism
101,atheism,atheism
102,atheism,atheism
103,atheism,atheism
104,atheism,atheism
105,atheism,atheism
106,atheism,atheism
107,atheism,atheism
108,atheism,atheism
109,atheism,atheism
110,atheism,atheism
111,atheism,mideastpolitics
112,atheism,atheism
113,atheism,atheism
114,atheism,atheism
115,atheism,atheism
116,atheism,atheism
117,atheism,atheism
118,atheism,atheism
119,atheism,christianity
120,atheism,atheism
121,atheism,atheism
122,atheism,christianity
123,atheism,christianity
124,atheism,atheism
125,atheism,mideastpolitics
126,atheism,christianity
127,atheism,atheism
128,atheism,atheism
129,atheism,christianity
130,atheism,christianity
131,atheism,atheism
132,atheism,christianity
133,atheism,christianity
134,atheism,christianity
135,atheism,xwindows
136,atheism,cryptology
137,atheism,atheism
138,atheism,politics
139,atheism,guns
140,atheism,guns
141,atheism,mideastpolitics
142,atheism,mideastpolitics
143,atheism,atheism
144,atheism,atheism
145,atheism,atheism
146,atheism,christianity
147,atheism,atheism
148,atheism,atheism
149,atheism,atheism
150,atheism,atheism
151,atheism,atheism
152,atheism,atheism
153,atheism,atheism
154,atheism,atheism
155,atheism,atheism
156,atheism,atheism
157,atheism,atheism
158,atheism,atheism
159,atheism,atheism
160,atheism,atheism
161,atheism,atheism
162,atheism,mideastpolitics
163,atheism,atheism
164,atheism,atheism
165,atheism,atheism
166,atheism,atheism
167,atheism,atheism
168,atheism,atheism
169,atheism,atheism
170,atheism,atheism
171,atheism,atheism
172,atheism,atheism
173,atheism,atheism
174,atheism,atheism
175,atheism,atheism
176,atheism,atheism
177,atheism,christianity
178,atheism,atheism
179,atheism,christianity
180,atheism,atheism
181,atheism,atheism
182,atheism,atheism
183,atheism,hockey
184,atheism,atheism
185,atheism,atheism
186,atheism,atheism
187,atheism,atheism
188,atheism,atheism
189,atheism,atheism
190,atheism,atheism
191,atheism,politics
192,atheism,atheism
193,atheism,atheism
194,atheism,christianity
195,atheism,atheism
196,atheism,atheism
197,atheism,atheism
198,atheism,atheism
199,atheism,atheism
200,atheism,atheism
201,atheism,atheism
202,atheism,christianity
203,atheism,atheism
