,atheism,autos,baseball,christianity,cryptology,electronics,forsale,graphics,guns,hockey,mac,medicine,mideastpolitics,motorcycles,mswindows,pc,politics,religion,space,xwindows,
atheism,240,0,0,49,2,0,0,0,3,1,0,2,8,0,0,0,6,7,0,1,
autos,0,365,1,0,2,4,5,1,3,0,0,0,1,5,0,1,7,0,0,0,
baseball,4,2,349,4,1,1,0,1,1,15,1,0,3,1,0,0,11,0,0,3,
christianity,5,0,0,381,1,1,0,1,2,0,0,1,2,0,2,0,1,0,0,1,
cryptology,0,0,0,1,373,2,1,2,5,0,0,1,1,0,1,1,7,0,0,1,
electronics,0,7,0,3,53,271,1,10,0,0,4,7,3,0,0,31,1,0,0,2,
forsale,0,26,0,1,2,13,235,7,5,1,18,4,3,5,6,53,9,0,0,2,
graphics,1,2,0,4,20,5,1,302,0,0,6,3,0,0,3,11,5,0,0,26,
guns,1,0,0,1,5,0,0,0,339,0,0,0,3,2,0,0,12,1,0,0,
hockey,1,0,2,1,1,0,0,0,0,389,0,1,1,1,0,0,2,0,0,0,
mac,0,3,0,0,9,13,3,9,6,0,279,6,0,1,10,36,7,0,0,3,
medicine,9,2,1,19,1,4,0,6,2,0,1,330,8,0,0,3,10,0,0,0,
mideastpolitics,6,1,1,7,5,0,0,1,3,1,0,0,331,1,0,0,19,0,0,0,
motorcycles,0,18,1,1,0,1,0,1,3,0,0,1,2,362,0,0,7,0,0,1,
mswindows,2,0,1,8,13,1,0,33,1,1,4,1,0,0,238,52,16,1,0,22,
pc,0,6,0,0,6,22,2,7,0,0,18,0,0,0,16,312,0,0,0,3,
politics,5,0,0,4,4,0,0,1,102,0,0,4,5,0,0,0,185,0,0,0,
religion,47,1,0,79,2,0,0,2,20,0,0,2,3,0,0,0,8,87,0,0,
space,21,17,3,21,39,67,1,38,17,0,1,49,8,7,0,1,100,0,0,4,
xwindows,0,0,0,1,12,0,1,36,0,0,3,1,0,0,6,10,4,0,0,318,
